TW,LW,Title,Studio,Weekend Gross,% Change,Theater Count,Change,Average,Total Gross,Budget*,Week #,ith year,ith week
9,8,BlacKkKlansman,Focus,"$4,202,080 ",-17.60%,1766,-148,"$2,379 ","$38,394,905 ",$15 ,4,2018,35
10,5,Mile 22,STX,"$3,765,869 ",-40.80%,2950,-570,"$1,277 ","$31,952,203 ",$50 ,3,2018,35
1,N,The Nun,WB (NL),"$53,807,379 ",-,3876,-,"$13,882 ","$53,807,379 ",$22 ,1,2018,36
2,N,Peppermint,STX,"$13,423,255 ",-,2980,-,"$4,504 ","$13,423,255 ",$25 ,1,2018,36
3,1,Crazy Rich Asians,WB,"$13,148,404 ",-40.10%,3865,-,"$3,402 ","$135,770,569 ",$30 ,4,2018,36
4,2,The Meg,WB,"$6,094,327 ",-42.20%,3511,-250,"$1,736 ","$131,637,101 ",$130 ,5,2018,36
5,4,Searching,SGem,"$4,570,235 ",-24.70%,2009,802,"$2,275 ","$14,366,365 ",-,3,2018,36
6,3,Mission: Impossible - Fallout,Par.,"$3,885,798 ",-44.70%,2334,-305,"$1,665 ","$212,202,565 ",$178 ,7,2018,36
7,6,Disney's Christopher Robin,BV,"$3,404,931 ",-35.50%,2518,-407,"$1,352 ","$91,934,021 ",$75 ,6,2018,36
8,5,Operation Finale,MGM,"$2,871,184 ",-52.30%,1818,-,"$1,579 ","$13,935,630 ",$24 ,2,2018,36
9,9,BlacKkKlansman,Focus,"$2,609,915 ",-37.90%,1547,-219,"$1,687 ","$43,498,445 ",$15 ,5,2018,36
10,7,Alpha,Studio 8,"$2,517,768 ",-44.60%,2521,-360,$999 ,"$32,460,286 ",$51 ,4,2018,36
1,N,The Predator (2018),Fox,"$24,632,284 ",-,4037,-,"$6,102 ","$24,632,284 ",$88 ,1,2018,37
2,1,The Nun,WB (NL),"$18,238,263 ",-66.10%,3876,-,"$4,705 ","$85,114,588 ",$22 ,2,2018,37
3,N,A Simple Favor,LGF,"$16,011,689 ",-,3102,-,"$5,162 ","$16,011,689 ",$20 ,1,2018,37
4,N,White Boy Rick,Studio 8,"$8,860,431 ",-,2504,-,"$3,539 ","$8,860,431 ",$29 ,1,2018,37
5,3,Crazy Rich Asians,WB,"$8,688,369 ",-33.90%,3385,-480,"$2,567 ","$149,540,273 ",$30 ,5,2018,37
6,2,Peppermint,STX,"$6,004,227 ",-55.30%,2980,-,"$2,015 ","$24,180,031 ",$25 ,2,2018,37
7,4,The Meg,WB,"$3,862,851 ",-36.60%,2851,-660,"$1,355 ","$137,145,041 ",$130 ,6,2018,37
8,5,Searching,SGem,"$3,179,538 ",-30.40%,2009,-,"$1,583 ","$19,600,641 ",-,4,2018,37
9,6,Mission: Impossible - Fallout,Par.,"$2,285,225 ",-41.20%,1761,-573,"$1,298 ","$216,105,562 ",$178 ,8,2018,37
10,N,Unbroken: Path to Redemption,PFR,"$2,238,723 ",-,1620,-,"$1,382 ","$2,238,723 ",-,1,2018,37
1,N,The House With A Clock In Its Walls,Uni.,"$26,608,020 ",-,3592,-,"$7,408 ","$26,608,020 ",$42 ,1,2018,38
2,3,A Simple Favor,LGF,"$10,252,206 ",-36.00%,3102,-,"$3,305 ","$32,414,620 ",$20 ,2,2018,38
3,2,The Nun,WB (NL),"$9,965,635 ",-45.40%,3707,-169,"$2,688 ","$100,610,942 ",$22 ,3,2018,38
4,1,The Predator (2018),Fox,"$9,176,459 ",-62.70%,4070,33,"$2,255 ","$40,911,581 ",$88 ,2,2018,38
5,5,Crazy Rich Asians,WB,"$6,346,641 ",-27.00%,2802,-583,"$2,265 ","$159,271,124 ",$30 ,6,2018,38
6,4,White Boy Rick,Studio 8,"$4,857,655 ",-45.20%,2504,-,"$1,940 ","$17,268,023 ",$29 ,2,2018,38
7,6,Peppermint,STX,"$3,684,122 ",-38.60%,2680,-300,"$1,375 ","$30,296,681 ",$25 ,3,2018,38
8,N,Fahrenheit 11/9,Briarcliff,"$3,008,563 ",-,1719,-,"$1,750 ","$3,008,563 ",-,1,2018,38
9,7,The Meg,WB,"$2,265,438 ",-41.40%,2003,-848,"$1,131 ","$140,438,357 ",$130 ,7,2018,38
10,8,Searching,SGem,"$2,150,829 ",-32.40%,1787,-222,"$1,204 ","$23,091,173 ",-,5,2018,38
1,N,Night School (2018),Uni.,"$27,257,615 ",-,3010,-,"$9,056 ","$27,257,615 ",$29 ,1,2018,39
2,N,Smallfoot,WB,"$23,045,635 ",-,4131,-,"$5,579 ","$23,045,635 ",-,1,2018,39
3,1,The House With A Clock In Its Walls,Uni.,"$12,605,120 ",-52.60%,3592,-,"$3,509 ","$44,858,345 ",$42 ,2,2018,39
4,2,A Simple Favor,LGF,"$6,540,666 ",-36.20%,3073,-29,"$2,128 ","$43,007,474 ",$20 ,3,2018,39
5,3,The Nun,WB (NL),"$5,428,875 ",-45.50%,3331,-376,"$1,630 ","$109,011,923 ",$22 ,4,2018,39
6,N,Hell Fest,LGF,"$5,130,963 ",-,2297,-,"$2,234 ","$5,130,963 ",$5.50 ,1,2018,39
7,5,Crazy Rich Asians,WB,"$4,102,788 ",-35.40%,2347,-455,"$1,748 ","$165,634,563 ",$30 ,7,2018,39
8,4,The Predator (2018),Fox,"$3,860,826 ",-57.90%,2926,-1144,"$1,319 ","$47,795,077 ",$88 ,3,2018,39
9,6,White Boy Rick,Studio 8,"$2,402,240 ",-50.50%,2017,-487,"$1,191 ","$21,732,021 ",$29 ,3,2018,39
10,7,Peppermint,STX,"$1,766,458 ",-52.10%,2002,-678,$882 ,"$33,523,366 ",$25 ,4,2018,39
1,N,Venom (2018),Sony,"$80,255,756 ",-,4250,-,"$18,884 ","$80,255,756 ",$100 ,1,2018,40
2,N,A Star is Born (2018),WB,"$42,908,051 ",-,3686,-,"$11,641 ","$44,258,051 ",$36 ,1,2018,40
3,2,Smallfoot,WB,"$14,402,559 ",-37.50%,4131,-,"$3,486 ","$42,263,504 ",-,2,2018,40
4,1,Night School (2018),Uni.,"$12,514,925 ",-54.10%,3019,9,"$4,145 ","$46,991,280 ",$29 ,2,2018,40
5,3,The House With A Clock In Its Walls,Uni.,"$7,332,665 ",-41.80%,3463,-129,"$2,117 ","$55,089,225 ",$42 ,3,2018,40
6,4,A Simple Favor,LGF,"$3,424,954 ",-47.60%,2408,-665,"$1,422 ","$49,004,310 ",$20 ,4,2018,40
7,5,The Nun,WB (NL),"$2,703,281 ",-50.20%,2264,-1067,"$1,194 ","$113,460,591 ",$22 ,5,2018,40
8,7,Crazy Rich Asians,WB,"$2,166,626 ",-47.20%,1466,-881,"$1,478 ","$169,241,568 ",$30 ,8,2018,40
9,6,Hell Fest,LGF,"$2,083,759 ",-59.40%,2297,-,$907 ,"$8,873,235 ",$5.50 ,2,2018,40
10,N,MET Opera: Aida,Fathom,"$1,187,275 ",-,699,-,"$1,699 ","$1,187,275 ",-,1,2018,40
1,1,Venom (2018),Sony,"$35,006,107 ",-56.40%,4250,-,"$8,237 ","$142,108,258 ",$100 ,2,2018,41
2,2,A Star is Born (2018),WB,"$28,445,205 ",-33.70%,3708,22,"$7,671 ","$94,605,565 ",$36 ,2,2018,41
3,N,First Man,Uni.,"$16,006,065 ",-,3640,-,"$4,397 ","$16,006,065 ",$59 ,1,2018,41
4,N,Goosebumps 2: Haunted Halloween,Sony,"$15,802,225 ",-,3521,-,"$4,488 ","$15,802,225 ",$35 ,1,2018,41
5,3,Smallfoot,WB,"$9,066,837 ",-37.00%,3606,-525,"$2,514 ","$57,375,058 ",-,3,2018,41
6,4,Night School (2018),Uni.,"$7,751,255 ",-38.10%,2780,-239,"$2,788 ","$59,560,205 ",$29 ,3,2018,41
7,N,Bad Times At The El Royale,Fox,"$7,132,647 ",-,2808,-,"$2,540 ","$7,132,647 ",$32 ,1,2018,41
8,5,The House With A Clock In Its Walls,Uni.,"$3,844,240 ",-47.60%,2791,-672,"$1,377 ","$62,119,740 ",$42 ,4,2018,41
9,14,The Hate U Give,Fox,"$1,736,842 ",239.20%,248,212,"$7,003 ","$2,449,156 ",$23 ,2,2018,41
10,7,The Nun,WB (NL),"$1,345,355 ",-50.20%,1174,-1090,"$1,146 ","$115,900,401 ",$22 ,6,2018,41
1,N,Halloween (2018),Uni.,"$76,221,545 ",-,3928,-,"$19,405 ","$76,221,545 ",$10 ,1,2018,42
2,2,A Star is Born (2018),WB,"$19,051,082 ",-33.00%,3884,176,"$4,905 ","$126,127,328 ",$36 ,3,2018,42
3,1,Venom (2018),Sony,"$18,043,887 ",-48.50%,3887,-363,"$4,642 ","$171,063,982 ",$100 ,3,2018,42
4,4,Goosebumps 2: Haunted Halloween,Sony,"$9,721,173 ",-38.50%,3521,-,"$2,761 ","$28,810,985 ",$35 ,2,2018,42
5,3,First Man,Uni.,"$8,327,135 ",-48.00%,3640,-,"$2,288 ","$29,762,185 ",$59 ,2,2018,42
6,9,The Hate U Give,Fox,"$7,602,108 ",337.70%,2303,"2,055","$3,301 ","$10,743,981 ",$23 ,3,2018,42
7,5,Smallfoot,WB,"$6,576,876 ",-27.50%,3032,-574,"$2,169 ","$66,327,911 ",-,4,2018,42
8,6,Night School (2018),Uni.,"$4,892,515 ",-36.90%,2296,-484,"$2,131 ","$66,799,340 ",$29 ,4,2018,42
9,7,Bad Times At The El Royale,Fox,"$3,420,067 ",-52.10%,2808,-,"$1,218 ","$13,461,868 ",$32 ,2,2018,42
10,15,The Old Man & the Gun,FoxS,"$2,134,481 ",132.60%,802,574,"$2,661 ","$4,285,337 ",-,4,2018,42
1,1,Halloween (2018),Uni.,"$31,419,070 ",-58.80%,3990,62,"$7,874 ","$126,075,470 ",$10 ,2,2018,43
2,2,A Star is Born (2018),WB,"$14,037,079 ",-26.30%,3904,20,"$3,596 ","$148,614,479 ",$36 ,4,2018,43
3,3,Venom (2018),Sony,"$10,652,381 ",-41.00%,3567,-320,"$2,986 ","$187,134,695 ",$100 ,4,2018,43
4,4,Goosebumps 2: Haunted Halloween,Sony,"$7,284,207 ",-25.10%,3723,202,"$1,957 ","$38,133,016 ",$35 ,3,2018,43
5,N,Hunter Killer,LG/S,"$6,653,777 ",-,2728,-,"$2,439 ","$6,653,777 ",$40 ,1,2018,43
6,6,The Hate U Give,Fox,"$5,101,859 ",-32.90%,2375,72,"$2,148 ","$18,301,864 ",$23 ,4,2018,43
7,5,First Man,Uni.,"$4,865,575 ",-41.60%,2959,-681,"$1,644 ","$37,808,655 ",$59 ,3,2018,43
8,7,Smallfoot,WB,"$4,761,614 ",-27.60%,2662,-370,"$1,789 ","$72,602,664 ",-,5,2018,43
9,8,Night School (2018),Uni.,"$3,236,025 ",-33.90%,1991,-305,"$1,625 ","$71,433,050 ",$29 ,5,2018,43
10,21,Mid90s,A24,"$2,980,505 ",1054.50%,1206,"1,202","$2,471 ","$3,330,676 ",-,2,2018,43
1,N,Bohemian Rhapsody,Fox,"$51,061,119 ",-,4000,-,"$12,765 ","$51,061,119 ",$52 ,1,2018,44
2,N,The Nutcracker and the Four Realms,BV,"$20,352,491 ",-,3766,-,"$5,404 ","$20,352,491 ",$120 ,1,2018,44
3,N,Nobody's Fool,Par.,"$13,743,111 ",-,2468,-,"$5,569 ","$13,743,111 ",$19 ,1,2018,44
4,2,A Star is Born (2018),WB,"$11,003,083 ",-21.60%,3431,-473,"$3,207 ","$165,537,649 ",$36 ,5,2018,44
5,1,Halloween (2018),Uni.,"$10,830,865 ",-65.50%,3775,-215,"$2,869 ","$150,224,570 ",$10 ,3,2018,44
6,3,Venom (2018),Sony,"$7,877,174 ",-26.10%,3067,-500,"$2,568 ","$198,690,522 ",$100 ,5,2018,44
7,8,Smallfoot,WB,"$3,861,672 ",-18.90%,2002,-660,"$1,929 ","$77,540,973 ",-,6,2018,44
8,4,Goosebumps 2: Haunted Halloween,Sony,"$3,773,720 ",-48.20%,2828,-895,"$1,334 ","$43,906,036 ",$35 ,4,2018,44
9,5,Hunter Killer,LG/S,"$3,528,129 ",-47.00%,2720,-8,"$1,297 ","$12,968,245 ",$40 ,2,2018,44
10,6,The Hate U Give,Fox,"$3,353,422 ",-34.30%,1507,-868,"$2,225 ","$23,414,346 ",$23 ,5,2018,44
1,N,Dr. Seuss' The Grinch (2018),Uni.,"$67,572,855 ",-,4141,-,"$16,318 ","$67,572,855 ",$75 ,1,2018,45
2,1,Bohemian Rhapsody,Fox,"$31,201,568 ",-38.90%,4000,-,"$7,800 ","$100,362,116 ",$52 ,2,2018,45
3,N,Overlord,Par.,"$10,202,108 ",-,2859,-,"$3,568 ","$10,202,108 ",$38 ,1,2018,45
4,2,The Nutcracker and the Four Realms,BV,"$10,086,869 ",-50.40%,3766,-,"$2,678 ","$35,778,403 ",$120 ,2,2018,45
5,4,A Star is Born (2018),WB,"$8,105,163 ",-26.30%,2848,-583,"$2,846 ","$178,115,551 ",$36 ,6,2018,45
6,N,The Girl in the Spider's Web: A New Dragon Tattoo Story,Sony,"$7,810,112 ",-,2929,-,"$2,666 ","$7,810,112 ",$43 ,1,2018,45
7,3,Nobody's Fool,Par.,"$6,636,242 ",-51.70%,2468,-,"$2,689 ","$24,372,350 ",$19 ,2,2018,45
8,6,Venom (2018),Sony,"$4,915,378 ",-37.60%,2351,-716,"$2,091 ","$206,298,981 ",$100 ,6,2018,45
9,5,Halloween (2018),Uni.,"$3,998,885 ",-63.10%,2717,-1058,"$1,472 ","$156,968,730 ",$10 ,4,2018,45
10,10,The Hate U Give,Fox,"$2,051,363 ",-38.80%,1108,-399,"$1,851 ","$26,687,246 ",$23 ,6,2018,45
1,N,Fantastic Beasts: The Crimes of Grindelwald,WB,"$62,163,104 ",-,4163,-,"$14,932 ","$62,163,104 ",$200 ,1,2018,46
2,1,Dr. Seuss' The Grinch (2018),Uni.,"$38,587,130 ",-42.90%,4141,-,"$9,318 ","$126,963,410 ",$75 ,2,2018,46
3,2,Bohemian Rhapsody,Fox,"$16,042,965 ",-48.60%,3810,-190,"$4,211 ","$128,228,824 ",$52 ,3,2018,46
4,N,Instant Family,Par.,"$14,504,315 ",-,3286,-,"$4,414 ","$14,504,315 ",$48 ,1,2018,46
5,N,Widows,Fox,"$12,361,307 ",-,2803,-,"$4,410 ","$12,361,307 ",$42 ,1,2018,46
6,4,The Nutcracker and the Four Realms,BV,"$4,772,950 ",-52.70%,2635,-1131,"$1,811 ","$43,965,640 ",$120 ,3,2018,46
7,5,A Star is Born (2018),WB,"$4,293,663 ",-47.00%,2010,-838,"$2,136 ","$185,784,570 ",$36 ,7,2018,46
8,3,Overlord,Par.,"$3,790,251 ",-62.80%,2859,-,"$1,326 ","$17,683,140 ",$38 ,2,2018,46
9,6,The Girl in the Spider's Web: A New Dragon Tattoo Story,Sony,"$2,501,616 ",-68.00%,2929,-,$854 ,"$13,292,139 ",$43 ,2,2018,46
10,N,Burn the Stage: The Movie,Trafalgar,"$2,420,197 ",-,629,-,"$3,848 ","$3,643,903 ",-,1,2018,46
1,N,Ralph Breaks the Internet,BV,"$56,237,634 ",-,4017,-,"$14,000 ","$84,750,405 ",$175 ,1,2018,47
2,N,Creed II,MGM,"$35,574,710 ",-,3441,-,"$10,338 ","$56,007,007 ",$50 ,1,2018,47
3,2,Dr. Seuss' The Grinch (2018),Uni.,"$30,392,220 ",-21.20%,3960,-181,"$7,675 ","$180,494,990 ",$75 ,3,2018,47
4,1,Fantastic Beasts: The Crimes of Grindelwald,WB,"$29,375,498 ",-52.70%,4163,-,"$7,056 ","$116,554,309 ",$200 ,2,2018,47
5,3,Bohemian Rhapsody,Fox,"$14,001,156 ",-12.70%,2927,-883,"$4,783 ","$152,158,106 ",$52 ,4,2018,47
6,4,Instant Family,Par.,"$12,310,708 ",-15.10%,3286,-,"$3,746 ","$35,564,886 ",$48 ,2,2018,47
7,N,Robin Hood (2018),LG/S,"$9,195,670 ",-,2827,-,"$3,253 ","$14,297,995 ",$100 ,1,2018,47
8,5,Widows,Fox,"$8,231,373 ",-33.40%,2803,-,"$2,937 ","$25,862,333 ",$42 ,2,2018,47
9,22,Green Book,Uni.,"$5,501,520 ",1616.90%,1063,"1,038","$5,175 ","$7,860,501 ",$23 ,2,2018,47
10,7,A Star is Born (2018),WB,"$3,016,129 ",-29.80%,1202,-808,"$2,509 ","$191,003,172 ",$36 ,8,2018,47
1,1,Ralph Breaks the Internet,BV,"$25,566,945 ",-54.50%,4017,-,"$6,365 ","$119,105,178 ",$175 ,2,2018,48
2,3,Dr. Seuss' The Grinch (2018),Uni.,"$17,926,785 ",-41.00%,3934,-26,"$4,557 ","$203,705,980 ",$75 ,4,2018,48
3,2,Creed II,MGM,"$16,639,048 ",-53.20%,3576,135,"$4,653 ","$80,975,332 ",$50 ,2,2018,48
4,4,Fantastic Beasts: The Crimes of Grindelwald,WB,"$11,361,556 ",-61.30%,3851,-312,"$2,950 ","$134,502,962 ",$200 ,3,2018,48
5,5,Bohemian Rhapsody,Fox,"$8,008,587 ",-42.80%,3007,80,"$2,663 ","$164,331,737 ",$52 ,5,2018,48
6,6,Instant Family,Par.,"$7,170,076 ",-41.80%,3376,90,"$2,124 ","$45,947,845 ",$48 ,3,2018,48
7,N,The Possession of Hannah Grace,SGem,"$6,401,744 ",-,2065,-,"$3,100 ","$6,401,744 ",$7.70 ,1,2018,48
8,7,Robin Hood (2018),LG/S,"$4,781,624 ",-48.00%,2827,-,"$1,691 ","$21,809,306 ",$100 ,2,2018,48
9,8,Widows,Fox,"$4,403,153 ",-46.50%,2393,-410,"$1,840 ","$33,063,398 ",$42 ,3,2018,48
10,9,Green Book,Uni.,"$3,931,220 ",-28.50%,1065,2,"$3,691 ","$14,045,711 ",$23 ,3,2018,48
1,1,Ralph Breaks the Internet,BV,"$16,253,831 ",-36.40%,3795,-222,"$4,283 ","$140,971,716 ",$175 ,3,2018,49
2,2,Dr. Seuss' The Grinch (2018),Uni.,"$15,039,050 ",-16.10%,3841,-93,"$3,915 ","$223,324,225 ",$75 ,5,2018,49
3,3,Creed II,MGM,"$9,975,167 ",-40.00%,3752,176,"$2,659 ","$96,124,564 ",$50 ,3,2018,49
4,4,Fantastic Beasts: The Crimes of Grindelwald,WB,"$6,953,846 ",-38.80%,3451,-400,"$2,015 ","$145,356,370 ",$200 ,4,2018,49
5,5,Bohemian Rhapsody,Fox,"$6,141,666 ",-23.30%,2953,-54,"$2,080 ","$173,710,836 ",$52 ,6,2018,49
6,6,Instant Family,Par.,"$5,756,311 ",-19.70%,3426,50,"$1,680 ","$54,317,053 ",$48 ,4,2018,49
7,10,Green Book,Uni.,"$3,905,030 ",-0.70%,1181,116,"$3,307 ","$19,946,941 ",$23 ,4,2018,49
8,8,Robin Hood (2018),LG/S,"$3,531,994 ",-26.10%,2573,-254,"$1,373 ","$27,236,187 ",$100 ,3,2018,49
9,7,The Possession of Hannah Grace,SGem,"$3,170,546 ",-50.50%,2298,233,"$1,380 ","$11,502,095 ",$7.70 ,2,2018,49
10,9,Widows,Fox,"$3,150,274 ",-28.50%,2161,-232,"$1,458 ","$38,206,080 ",$42 ,4,2018,49
1,N,Spider-Man: Into The Spider-Verse,Sony,"$35,363,376 ",-,3813,-,"$9,274 ","$35,363,376 ",$90 ,1,2018,50
2,N,The Mule,WB,"$17,509,431 ",-,2588,-,"$6,766 ","$17,509,431 ",$50 ,1,2018,50
3,2,Dr. Seuss' The Grinch (2018),Uni.,"$11,753,665 ",-21.80%,3680,-161,"$3,194 ","$239,463,375 ",$75 ,6,2018,50
4,1,Ralph Breaks the Internet,BV,"$9,274,018 ",-42.90%,3575,-220,"$2,594 ","$154,149,896 ",$175 ,4,2018,50
5,N,Mortal Engines,Uni.,"$7,559,850 ",-,3103,-,"$2,436 ","$7,559,850 ",$100 ,1,2018,50
6,3,Creed II,MGM,"$5,385,914 ",-46.00%,3107,-645,"$1,733 ","$104,870,060 ",$50 ,4,2018,50
7,5,Bohemian Rhapsody,Fox,"$4,314,179 ",-29.80%,2213,-740,"$1,949 ","$180,612,379 ",$52 ,7,2018,50
8,6,Instant Family,Par.,"$3,790,287 ",-34.20%,2860,-566,"$1,325 ","$60,288,341 ",$48 ,5,2018,50
9,4,Fantastic Beasts: The Crimes of Grindelwald,WB,"$3,789,839 ",-45.50%,2606,-845,"$1,454 ","$151,793,249 ",$200 ,5,2018,50
10,7,Green Book,Uni.,"$2,774,630 ",-28.90%,1215,34,"$2,284 ","$24,654,996 ",$23 ,5,2018,50
1,N,Aquaman,WB,"$67,873,522 ",-,4125,-,"$16,454 ","$72,573,522 ",-,1,2018,51
2,N,Mary Poppins Returns,BV,"$23,523,121 ",-,4090,-,"$5,751 ","$32,337,792 ",$130 ,1,2018,51
3,N,Bumblebee,Par.,"$21,654,047 ",-,3550,-,"$6,100 ","$21,654,047 ",$135 ,1,2018,51
4,1,Spider-Man: Into The Spider-Verse,Sony,"$16,463,662 ",-53.40%,3813,-,"$4,318 ","$64,563,725 ",$90 ,2,2018,51
5,2,The Mule,WB,"$9,500,985 ",-45.70%,2656,68,"$3,577 ","$35,204,450 ",$50 ,2,2018,51
6,3,Dr. Seuss' The Grinch (2018),Uni.,"$8,458,030 ",-28.00%,2780,-900,"$3,042 ","$253,498,005 ",$75 ,7,2018,51
7,N,Second Act,STX,"$6,489,983 ",-,2607,-,"$2,489 ","$6,489,983 ",$16 ,1,2018,51
8,4,Ralph Breaks the Internet,BV,"$4,702,425 ",-49.30%,2495,-1080,"$1,885 ","$162,197,355 ",$175 ,5,2018,51
9,N,Welcome to Marwen,Uni.,"$2,354,205 ",-,1911,-,"$1,232 ","$2,354,205 ",$39 ,1,2018,51
10,18,Mary Queen of Scots,Focus,"$2,277,820 ",225.50%,795,729,"$2,865 ","$3,581,575 ",-,3,2018,51
1,1,Aquaman,WB,"$52,114,571 ",-23.20%,4125,-,"$12,634 ","$189,048,186 ",-,2,2018,52
2,2,Mary Poppins Returns,BV,"$28,353,117 ",20.50%,4090,-,"$6,932 ","$99,263,875 ",$130 ,2,2018,52
3,3,Bumblebee,Par.,"$20,906,146 ",-3.50%,3550,-,"$5,889 ","$67,184,166 ",$135 ,2,2018,52
4,4,Spider-Man: Into The Spider-Verse,Sony,"$18,794,532 ",14.20%,3813,-,"$4,929 ","$104,123,262 ",$90 ,3,2018,52
5,5,The Mule,WB,"$12,162,024 ",28.00%,2787,131,"$4,364 ","$61,109,209 ",$50 ,3,2018,52
6,N,Vice,Annapurna,"$7,768,371 ",-,2442,-,"$3,181 ","$17,674,487 ",-,1,2018,52
7,N,Holmes and Watson,Sony,"$7,411,522 ",-,2776,-,"$2,670 ","$19,817,930 ",$42 ,1,2018,52
8,7,Second Act,STX,"$7,359,691 ",13.40%,2607,-,"$2,823 ","$21,923,753 ",$16 ,2,2018,52
9,8,Ralph Breaks the Internet,BV,"$6,726,184 ",43.00%,2343,-152,"$2,871 ","$175,907,767 ",$175 ,6,2018,52
10,6,Dr. Seuss' The Grinch (2018),Uni.,"$4,122,245 ",-51.30%,2555,-225,"$1,613 ","$265,457,730 ",$75 ,8,2018,52
