Dates,Year,Week,Top 10 Gross,%¡À LW,Overall Gross,%¡À LW.1,Releases,#1 Release,link
Oct 25-27,2019,43,"$89,886,989 ",-30.80%,"$101,696,881 ",-26.20%,52,Joker,/weekend/2019W43/?ref_=bo_wey_table_1
Oct 18-20,2019,42,"$129,825,817 ",-2.30%,"$137,773,594 ",-2.50%,108,Maleficent: Mistress of Evil,/weekend/2019W42/?ref_=bo_wey_table_2
Oct 11-14Columbus Day wknd,2019,41,"$152,832,766 ",-20.90%,"$161,043,554 ",-20.90%,59,Joker,/weekend/2019W41/occasion/us_columbusday_weekend/?ref_=bo_wey_table_4
Oct 4-6,2019,40,"$142,713,298 ",71.20%,"$150,554,448 ",59.30%,107,Joker,/weekend/2019W40/?ref_=bo_wey_table_5
Sep 27-29,2019,39,"$83,354,126 ",-26.50%,"$94,527,125 ",-23.40%,111,Abominable,/weekend/2019W39/?ref_=bo_wey_table_6
Sep 20-22,2019,38,"$113,373,910 ",16.80%,"$123,431,530 ",11.40%,106,Downton Abbey,/weekend/2019W38/?ref_=bo_wey_table_7
Sep 13-15,2019,37,"$97,031,904 ",-21.40%,"$110,793,852 ",-20%,106,It Chapter Two,/weekend/2019W37/?ref_=bo_wey_table_8
Sep 6-8,2019,36,"$123,496,912 ",93.20%,"$138,423,528 ",51%,92,It Chapter Two,/weekend/2019W36/?ref_=bo_wey_table_9
Aug 30-Sep 2Labor Day wknd,2019,35,"$84,263,777 ",-12.50%,"$120,764,143 ",-6.60%,82,Angel Has Fallen,/weekend/2019W35/occasion/us_laborday_weekend/?ref_=bo_wey_table_11
Aug 23-25,2019,34,"$87,899,112 ",-13.70%,"$108,764,687 ",-9.60%,98,Angel Has Fallen,/weekend/2019W34/?ref_=bo_wey_table_12
Aug 16-18,2019,33,"$101,857,634 ",-16%,"$120,307,107 ",-8.90%,101,Good Boys,/weekend/2019W33/?ref_=bo_wey_table_13
Aug 9-11,2019,32,"$121,235,199 ",-15.70%,"$132,104,260 ",-11.30%,92,Fast & Furious Presents: Hobbs & Shaw,/weekend/2019W32/?ref_=bo_wey_table_14
Aug 2-4,2019,31,"$143,893,312 ",-7.50%,"$148,998,871 ",-8.50%,97,Fast & Furious Presents: Hobbs & Shaw,/weekend/2019W31/?ref_=bo_wey_table_15
Jul 26-28,2019,30,"$155,622,904 ",-38.60%,"$162,868,015 ",-38.30%,97,The Lion King,/weekend/2019W30/?ref_=bo_wey_table_16
Jul 19-21,2019,29,"$253,574,574 ",122.20%,"$263,882,516 ",107.90%,102,The Lion King,/weekend/2019W29/?ref_=bo_wey_table_17
Jul 12-14,2019,28,"$114,124,922 ",-34.50%,"$126,932,873 ",-30.90%,103,Spider-Man: Far from Home,/weekend/2019W28/?ref_=bo_wey_table_18
Jul 5-7,2019,27,"$174,209,668 ",25.50%,"$183,814,074 ",21.10%,96,Spider-Man: Far from Home,/weekend/2019W27/?ref_=bo_wey_table_19
Jun 28-30,2019,26,"$138,825,078 ",-26.90%,"$151,841,304 ",-25.50%,96,Toy Story 4,/weekend/2019W26/?ref_=bo_wey_table_20
Jun 21-23,2019,25,"$189,899,923 ",53.60%,"$203,833,169 ",50%,102,Toy Story 4,/weekend/2019W25/?ref_=bo_wey_table_21
Jun 14-16,2019,24,"$123,601,448 ",-21.90%,"$135,914,033 ",-18%,100,Men in Black: International,/weekend/2019W24/?ref_=bo_wey_table_22
Jun 7-9,2019,23,"$158,327,825 ",-5.50%,"$165,733,750 ",-4.80%,101,The Secret Life of Pets 2,/weekend/2019W23/?ref_=bo_wey_table_23
May 31-Jun 2,2019,22,"$167,597,113 ",-3.20%,"$174,090,953 ",-3.90%,106,Godzilla: King of the Monsters,/weekend/2019W22/?ref_=bo_wey_table_24
May 24-27Memorial Day wknd,2019,21,"$220,383,863 ",1%,"$230,819,376 ",1.70%,97,Aladdin,/weekend/2019W21/occasion/us_memorialday_weekend/?ref_=bo_wey_table_25
May 17-19,2019,20,"$139,901,024 ",-12.70%,"$148,365,208 ",-11.80%,115,John Wick: Chapter 3 - Parabellum,/weekend/2019W20/?ref_=bo_wey_table_27
May 10-12,2019,19,"$160,271,263 ",-17.30%,"$168,253,370 ",-15.80%,113,Avengers: Endgame,/weekend/2019W19/?ref_=bo_wey_table_28
May 3-5,2019,18,"$193,910,218 ",-51.10%,"$199,858,498 ",-50.30%,113,Avengers: Endgame,/weekend/2019W18/?ref_=bo_wey_table_29
Apr 26-28,2019,17,"$396,469,872 ",316.10%,"$402,087,399 ",268.20%,114,Avengers: Endgame,/weekend/2019W17/?ref_=bo_wey_table_30
Apr 19-22Easter wknd,2019,16,"$106,099,675 ",-18.90%,"$121,560,823 ",-21.50%,74,The Curse of La Llorona,/weekend/2019W16/occasion/easter_weekend/?ref_=bo_wey_table_31
Apr 12-14,2019,15,"$100,437,182 ",-27.20%,"$111,173,940 ",-24.30%,119,Shazam!,/weekend/2019W15/?ref_=bo_wey_table_33
Apr 5-7,2019,14,"$137,908,217 ",6.50%,"$146,937,939 ",6.60%,117,Shazam!,/weekend/2019W14/?ref_=bo_wey_table_34
Mar 29-31,2019,13,"$129,484,146 ",-7%,"$137,830,324 ",-7.40%,120,Dumbo,/weekend/2019W13/?ref_=bo_wey_table_35
Mar 22-24,2019,12,"$139,284,316 ",10.20%,"$148,803,456 ",6.40%,117,Us,/weekend/2019W12/?ref_=bo_wey_table_36
Mar 15-17,2019,11,"$126,418,468 ",-36.20%,"$139,804,590 ",-33.60%,122,Captain Marvel,/weekend/2019W11/?ref_=bo_wey_table_37
Mar 8-10,2019,10,"$198,063,125 ",109.90%,"$210,564,349 ",81.60%,107,Captain Marvel,/weekend/2019W10/?ref_=bo_wey_table_38
Mar 1-3,2019,9,"$94,364,496 ",-14.70%,"$115,975,923 ",-9.40%,114,How to Train Your Dragon: The Hidden World,/weekend/2019W09/?ref_=bo_wey_table_39
Feb 22-24,2019,8,"$110,669,509 ",5.20%,"$127,999,939 ",1.40%,88,How to Train Your Dragon: The Hidden World,/weekend/2019W08/?ref_=bo_wey_table_40
Feb 15-18Presidents' Day wknd,2019,7,"$126,415,385 ",-60.90%,"$152,447,001 ",-55.90%,86,Alita: Battle Angel,/weekend/2019W07/occasion/us_presidentsday_weekend/?ref_=bo_wey_table_42
Feb 8-10,2019,6,"$95,027,517 ",82.40%,"$115,811,896 ",57.60%,93,The Lego Movie 2: The Second Part,/weekend/2019W06/?ref_=bo_wey_table_43
Feb 1-3,2019,5,"$52,087,190 ",-29.40%,"$73,462,968 ",-29%,85,Glass,/weekend/2019W05/?ref_=bo_wey_table_44
Jan 25-27,2019,4,"$73,819,238 ",-32.60%,"$103,503,701 ",-20.20%,82,Glass,/weekend/2019W04/?ref_=bo_wey_table_45
Jan 18-21MLK wknd,2019,3,"$134,433,589 ",-15.30%,"$162,367,073 ",-17.10%,69,Glass,/weekend/2019W03/occasion/us_mlkday_weekend/?ref_=bo_wey_table_46
Jan 11-13,2019,2,"$96,775,974 ",-18.70%,"$119,640,159 ",-13.80%,86,The Upside,/weekend/2019W02/?ref_=bo_wey_table_48
Jan 4-6,2019,1,"$119,007,739 ",-28.20%,"$138,872,261 ",-26.20%,89,Aquaman,/weekend/2019W01/?ref_=bo_wey_table_49
"Dec 28-Jan 1, 2019New Year's long wknd",2018,52,"$254,547,234 ",12.60%,"$288,846,349 ",14%,53,Aquaman,/weekend/2018W52/occasion/us_newyear_weekend/?ref_=bo_wey_table_1
Dec 21-25Christmas long wknd,2018,51,"$260,363,074 ",10.10%,"$291,020,519 ",12.10%,60,Aquaman,/weekend/2018W51/occasion/us_christmas_weekend/?ref_=bo_wey_table_3
Dec 14-16,2018,50,"$101,640,559 ",37.60%,"$120,463,418 ",40.40%,100,Spider-Man: Into the Spider-Verse,/weekend/2018W50/?ref_=bo_wey_table_5
Dec 7-9,2018,49,"$73,877,715 ",-30.40%,"$85,822,147 ",-28.30%,100,Ralph Breaks the Internet,/weekend/2018W49/?ref_=bo_wey_table_6
Nov 30-Dec 2,2018,48,"$106,190,738 ",-47.90%,"$119,701,329 ",-44.70%,104,Ralph Breaks the Internet,/weekend/2018W48/?ref_=bo_wey_table_7
Nov 21-25Thanksgiving 5-Day,2018,47,"$298,630,062 ",16.90%,"$314,861,631 ",17.70%,64,Ralph Breaks the Internet,/weekend/2018W46/occasion/us_thanksgiving_5/?ref_=bo_wey_table_10
Nov 16-18,2018,46,"$161,437,498 ",5.80%,"$174,705,199 ",3.80%,107,Fantastic Beasts: The Crimes of Grindelwald,/weekend/2018W46/?ref_=bo_wey_table_11
Nov 9-11,2018,45,"$152,580,543 ",17.90%,"$168,344,121 ",15.40%,113,The Grinch,/weekend/2018W45/?ref_=bo_wey_table_12
Nov 2-4,2018,44,"$129,384,786 ",42.20%,"$145,822,119 ",38%,119,Bohemian Rhapsody,/weekend/2018W44/?ref_=bo_wey_table_13
Oct 26-28,2018,43,"$90,992,092 ",-41.70%,"$105,667,363 ",-36.40%,119,Halloween,/weekend/2018W43/?ref_=bo_wey_table_14
Oct 19-21,2018,42,"$155,990,869 ",23.70%,"$166,083,062 ",21.50%,111,Halloween,/weekend/2018W42/?ref_=bo_wey_table_15
Oct 12-14,2018,41,"$126,136,778 ",-25.40%,"$136,738,283 ",-23.60%,126,Venom,/weekend/2018W41/?ref_=bo_wey_table_16
Oct 5-8Columbus Day wknd,2018,40,"$193,103,101 ",72.20%,"$203,648,461 ",68.20%,74,Venom,/weekend/2018W40/occasion/us_columbusday_weekend/?ref_=bo_wey_table_17
Sep 28-30,2018,39,"$92,141,186 ",17.70%,"$106,442,479 ",15.30%,130,Night School,/weekend/2018W39/?ref_=bo_wey_table_19
Sep 21-23,2018,38,"$78,315,568 ",-16.70%,"$92,316,508 ",-15.40%,124,The House with a Clock in Its Walls,/weekend/2018W38/?ref_=bo_wey_table_20
Sep 14-16,2018,37,"$94,001,600 ",-11.60%,"$109,133,476 ",-9.90%,130,The Predator,/weekend/2018W37/?ref_=bo_wey_table_21
Sep 7-9,2018,36,"$106,333,196 ",44.10%,"$121,114,594 ",21.90%,112,The Nun,/weekend/2018W36/?ref_=bo_wey_table_22
Aug 31-Sep 3Labor Day wknd,2018,35,"$96,296,736 ",56.10%,"$129,333,336 ",32.20%,95,Crazy Rich Asians,/weekend/2018W35/occasion/us_laborday_weekend/?ref_=bo_wey_table_23
Aug 24-26,2018,34,"$84,558,009 ",-23.60%,"$103,657,410 ",-19.90%,113,Crazy Rich Asians,/weekend/2018W34/?ref_=bo_wey_table_25
Aug 17-19,2018,33,"$110,718,157 ",-12.80%,"$129,469,267 ",-12.10%,114,Crazy Rich Asians,/weekend/2018W33/?ref_=bo_wey_table_26
Aug 10-12,2018,32,"$126,978,553 ",6%,"$147,302,462 ",5.40%,100,The Meg,/weekend/2018W32/?ref_=bo_wey_table_27
Aug 3-5,2018,31,"$119,739,621 ",-16.50%,"$139,748,359 ",-10.80%,108,Mission: Impossible - Fallout,/weekend/2018W31/?ref_=bo_wey_table_28
Jul 27-29,2018,30,"$143,331,278 ",-8.90%,"$156,588,266 ",-9.30%,111,Mission: Impossible - Fallout,/weekend/2018W30/?ref_=bo_wey_table_29
Jul 20-22,2018,29,"$157,376,958 ",2.20%,"$172,609,113 ",4%,101,The Equalizer 2,/weekend/2018W29/?ref_=bo_wey_table_30
Jul 13-15,2018,28,"$154,037,869 ",-12.90%,"$166,028,564 ",-12%,102,Hotel Transylvania 3: Summer Vacation,/weekend/2018W28/?ref_=bo_wey_table_31
Jul 6-8,2018,27,"$176,800,250 ",5.70%,"$188,609,905 ",4.90%,102,Ant-Man and the Wasp,/weekend/2018W27/?ref_=bo_wey_table_32
Jun 29-Jul 1,2018,26,"$167,201,140 ",-37.90%,"$179,844,255 ",-35.20%,108,Jurassic World: Fallen Kingdom,/weekend/2018W26/?ref_=bo_wey_table_33
Jun 22-24,2018,25,"$269,388,336 ",4.20%,"$277,365,758 ",2.30%,103,Jurassic World: Fallen Kingdom,/weekend/2018W25/?ref_=bo_wey_table_34
Jun 15-17,2018,24,"$258,481,930 ",135.70%,"$271,034,765 ",125.30%,104,Incredibles 2,/weekend/2018W24/?ref_=bo_wey_table_35
Jun 8-10,2018,23,"$109,660,193 ",13%,"$120,294,762 ",12.70%,112,Ocean's Eight,/weekend/2018W23/?ref_=bo_wey_table_36
Jun 1-3,2018,22,"$97,051,566 ",-44.60%,"$106,760,099 ",-41.40%,115,Solo: A Star Wars Story,/weekend/2018W22/?ref_=bo_wey_table_37
May 25-28Memorial Day wknd,2018,21,"$218,126,709 ",28.50%,"$227,018,880 ",25.70%,108,Solo: A Star Wars Story,/weekend/2018W21/occasion/us_memorialday_weekend/?ref_=bo_wey_table_39
May 18-20,2018,20,"$200,438,167 ",58.20%,"$209,967,303 ",50.90%,122,Deadpool 2,/weekend/2018W20/?ref_=bo_wey_table_40
May 11-13,2018,19,"$126,696,435 ",-20.30%,"$139,103,219 ",-18%,122,Avengers: Infinity War,/weekend/2018W19/?ref_=bo_wey_table_41
May 4-6,2018,18,"$158,985,116 ",-47.50%,"$169,550,312 ",-46%,115,Avengers: Infinity War,/weekend/2018W18/?ref_=bo_wey_table_42
Apr 27-29,2018,17,"$303,012,371 ",184.20%,"$313,937,789 ",149.60%,125,Avengers: Infinity War,/weekend/2018W17/?ref_=bo_wey_table_43
Apr 20-22,2018,16,"$106,600,851 ",-19.10%,"$125,778,372 ",-16.20%,121,A Quiet Place,/weekend/2018W16/?ref_=bo_wey_table_44
Apr 13-15,2018,15,"$131,792,250 ",-6.40%,"$150,160,537 ",-8.50%,117,Rampage,/weekend/2018W15/?ref_=bo_wey_table_45
Apr 6-8,2018,14,"$140,865,614 ",22.20%,"$164,133,343 ",19.60%,116,A Quiet Place,/weekend/2018W14/?ref_=bo_wey_table_46
Mar 30-Apr 2Easter wknd,2018,13,"$130,872,272 ",-24.50%,"$154,921,251 ",-16.90%,59,Ready Player One,/weekend/2018W13/occasion/easter_weekend/?ref_=bo_wey_table_47
Mar 23-25,2018,12,"$108,669,222 ",-8.50%,"$130,423,221 ",-1.80%,114,Pacific Rim: Uprising,/weekend/2018W12/?ref_=bo_wey_table_49
Mar 16-18,2018,11,"$118,810,762 ",-3.50%,"$132,848,455 ",-4.90%,114,Black Panther,/weekend/2018W11/?ref_=bo_wey_table_50
Mar 9-11,2018,10,"$123,134,923 ",-8.30%,"$139,696,317 ",-6.30%,112,Black Panther,/weekend/2018W10/?ref_=bo_wey_table_51
Mar 2-4,2018,9,"$134,280,505 ",-24.20%,"$149,122,522 ",-23.80%,115,Black Panther,/weekend/2018W09/?ref_=bo_wey_table_52
Feb 23-25,2018,8,"$177,068,935 ",-33.80%,"$195,707,999 ",-31.80%,110,Black Panther,/weekend/2018W08/?ref_=bo_wey_table_53
Feb 16-19Presidents' Day wknd,2018,7,"$323,004,490 ",107.30%,"$346,075,601 ",90.50%,91,Black Panther,/weekend/2018W07/occasion/us_presidentsday_weekend/?ref_=bo_wey_table_54
Feb 9-11,2018,6,"$113,834,248 ",73.20%,"$141,457,633 ",48.90%,105,Fifty Shades Freed,/weekend/2018W06/?ref_=bo_wey_table_56
Feb 2-4,2018,5,"$65,718,354 ",-35.90%,"$94,988,230 ",-33.60%,102,Jumanji: Welcome to the Jungle,/weekend/2018W05/?ref_=bo_wey_table_57
Jan 26-28,2018,4,"$102,483,376 ",-1.60%,"$142,985,855 ",5.40%,104,Maze Runner: The Death Cure,/weekend/2018W04/?ref_=bo_wey_table_58
Jan 19-21,2018,3,"$104,176,178 ",-19.40%,"$135,628,208 ",-14.80%,103,Jumanji: Welcome to the Jungle,/weekend/2018W03/?ref_=bo_wey_table_59
Jan 12-15MLK wknd,2018,2,"$158,634,790 ",7.40%,"$195,812,771 ",5.70%,76,Jumanji: Welcome to the Jungle,/weekend/2018W02/occasion/us_mlkday_weekend/?ref_=bo_wey_table_61
Jan 5-7,2018,1,"$144,171,701 ",-16.80%,"$165,531,482 ",-14.70%,89,Jumanji: Welcome to the Jungle,/weekend/2018W01/?ref_=bo_wey_table_62
"Dec 29-Jan 1, 2018New Year's long wknd",2017,52,"$226,045,913 ",2.60%,"$253,441,683 ",2.70%,67,Star Wars: Episode VIII - The Last Jedi,/weekend/2017W52/occasion/us_newyear_weekend/?ref_=bo_wey_table_2
Dec 22-25Christmas long wknd,2017,51,"$236,559,567 ",-5.60%,"$259,567,981 ",-5.50%,62,Star Wars: Episode VIII - The Last Jedi,/weekend/2017W51/occasion/us_christmas_weekend/?ref_=bo_wey_table_3
Dec 15-17,2017,50,"$267,186,366 ",278.20%,"$278,067,957 ",227.60%,86,Star Wars: Episode VIII - The Last Jedi,/weekend/2017W50/?ref_=bo_wey_table_5
Dec 8-10,2017,49,"$70,644,026 ",-27%,"$84,873,861 ",-19.30%,108,Coco,/weekend/2017W49/?ref_=bo_wey_table_6
Dec 1-3,2017,48,"$96,708,952 ",15.50%,"$105,185,400 ",9.80%,110,Coco,/weekend/2017W48/?ref_=bo_wey_table_7
Nov 22-26Thanksgiving 5-Day,2017,47,"$255,508,291 ",4.80%,"$267,474,764 ",2.60%,61,Coco,/weekend/2017W46/occasion/us_thanksgiving_5/?ref_=bo_wey_table_10
Nov 17-19,2017,46,"$192,816,366 ",39.90%,"$199,223,159 ",31.40%,111,Justice League,/weekend/2017W46/?ref_=bo_wey_table_11
Nov 10-12,2017,45,"$137,873,693 ",-16.30%,"$151,562,937 ",-15.90%,124,Thor: Ragnarok,/weekend/2017W45/?ref_=bo_wey_table_12
Nov 3-5,2017,44,"$164,643,982 ",184.40%,"$180,275,276 ",134.60%,126,Thor: Ragnarok,/weekend/2017W44/?ref_=bo_wey_table_13
Oct 27-29,2017,43,"$57,899,380 ",-24.20%,"$76,856,088 ",-19.90%,128,Jigsaw,/weekend/2017W43/?ref_=bo_wey_table_14
Oct 20-22,2017,42,"$76,408,192 ",-13.90%,"$95,980,741 ",-4.50%,137,Boo 2! A Madea Halloween,/weekend/2017W42/?ref_=bo_wey_table_15
Oct 13-15,2017,41,"$88,765,700 ",-8.50%,"$100,461,379 ",-4.80%,135,Happy Death Day,/weekend/2017W41/?ref_=bo_wey_table_16
Oct 6-8,2017,40,"$97,001,069 ",20.90%,"$105,557,205 ",16.20%,132,Blade Runner 2049,/weekend/2017W40/?ref_=bo_wey_table_17
Sep 29-Oct 1,2017,39,"$80,260,428 ",-26%,"$90,846,336 ",-23%,131,Kingsman: The Golden Circle,/weekend/2017W39/?ref_=bo_wey_table_19
Sep 22-24,2017,38,"$108,472,634 ",6.80%,"$117,918,784 ",5.10%,131,Kingsman: The Golden Circle,/weekend/2017W38/?ref_=bo_wey_table_20
Sep 15-17,2017,37,"$101,574,131 ",-33.60%,"$112,222,203 ",-31.60%,143,It,/weekend/2017W37/?ref_=bo_wey_table_21
Sep 8-10,2017,36,"$153,028,668 ",213.20%,"$164,044,803 ",111.30%,135,It,/weekend/2017W36/?ref_=bo_wey_table_22
Sep 1-4Labor Day wknd,2017,35,"$61,708,167 ",-28%,"$97,866,622 ",-23.80%,121,The Hitman's Bodyguard,/weekend/2017W35/occasion/us_laborday_weekend/?ref_=bo_wey_table_23
Aug 25-27,2017,34,"$46,116,140 ",-39.10%,"$69,312,122 ",-28.20%,130,The Hitman's Bodyguard,/weekend/2017W34/?ref_=bo_wey_table_25
Aug 18-20,2017,33,"$75,677,045 ",-20.50%,"$96,486,715 ",-17.50%,124,The Hitman's Bodyguard,/weekend/2017W33/?ref_=bo_wey_table_26
Aug 11-13,2017,32,"$95,249,031 ",-9.70%,"$116,913,742 ",-4.80%,123,Annabelle: Creation,/weekend/2017W32/?ref_=bo_wey_table_27
Aug 4-6,2017,31,"$105,440,174 ",-21.40%,"$122,787,940 ",-15%,106,The Dark Tower,/weekend/2017W31/?ref_=bo_wey_table_28
Jul 28-30,2017,30,"$134,073,732 ",-22.50%,"$144,397,313 ",-20.10%,122,Dunkirk,/weekend/2017W30/?ref_=bo_wey_table_29
Jul 21-23,2017,29,"$172,931,486 ",10.80%,"$180,801,251 ",10.70%,114,Dunkirk,/weekend/2017W29/?ref_=bo_wey_table_30
Jul 14-16,2017,28,"$156,068,438 ",-21.30%,"$163,324,876 ",-20.90%,109,War for the Planet of the Apes,/weekend/2017W28/?ref_=bo_wey_table_31
Jul 7-9,2017,27,"$198,323,345 ",26.20%,"$206,488,903 ",21.50%,109,Spider-Man: Homecoming,/weekend/2017W27/?ref_=bo_wey_table_32
Jun 30-Jul 4July 4th long wknd,2017,26,"$221,241,108 ",1.50%,"$239,317,563 ",3.50%,77,Despicable Me 3,/weekend/2017W26/occasion/us_july4_weekend/?ref_=bo_wey_table_33
Jun 23-25,2017,25,"$130,023,273 ",-27.30%,"$140,826,843 ",-26.10%,109,Transformers: The Last Knight,/weekend/2017W25/?ref_=bo_wey_table_35
Jun 16-18,2017,24,"$178,932,468 ",30.30%,"$190,580,340 ",32.20%,115,Cars 3,/weekend/2017W24/?ref_=bo_wey_table_36
Jun 9-11,2017,23,"$137,307,539 ",-23.30%,"$144,176,376 ",-22.40%,108,Wonder Woman,/weekend/2017W23/?ref_=bo_wey_table_37
Jun 2-4,2017,22,"$179,022,383 ",33.60%,"$185,842,459 ",30.60%,110,Wonder Woman,/weekend/2017W22/?ref_=bo_wey_table_38
May 26-29Memorial Day wknd,2017,21,"$169,805,597 ",-13.80%,"$180,565,176 ",-12.10%,88,Pirates of the Caribbean: Dead Men Tell No Tales,/weekend/2017W21/occasion/us_memorialday_weekend/?ref_=bo_wey_table_39
May 19-21,2017,20,"$115,331,687 ",-7.40%,"$124,441,368 ",-8.50%,111,Alien: Covenant,/weekend/2017W20/?ref_=bo_wey_table_41
May 12-14,2017,19,"$124,517,741 ",-32.50%,"$136,001,326 ",-30.30%,114,Guardians of the Galaxy Vol. 2,/weekend/2017W19/?ref_=bo_wey_table_42
May 5-7,2017,18,"$184,356,127 ",128.20%,"$195,098,085 ",95.50%,109,Guardians of the Galaxy Vol. 2,/weekend/2017W18/?ref_=bo_wey_table_43
Apr 28-30,2017,17,"$80,793,191 ",-11.10%,"$99,778,230 ",-7.30%,112,The Fate of the Furious,/weekend/2017W17/?ref_=bo_wey_table_44
Apr 21-23,2017,16,"$90,926,040 ",-41.70%,"$107,650,168 ",-36.20%,110,The Fate of the Furious,/weekend/2017W16/?ref_=bo_wey_table_45
Apr 14-17Easter wknd,2017,15,"$173,236,946 ",-35.90%,"$186,508,700 ",-33%,50,The Fate of the Furious,/weekend/2017W15/occasion/easter_weekend/?ref_=bo_wey_table_46
Apr 7-9,2017,14,"$106,287,914 ",-34.20%,"$120,077,853 ",-29.20%,103,The Boss Baby,/weekend/2017W14/?ref_=bo_wey_table_48
Mar 31-Apr 2,2017,13,"$161,650,523 ",-16.10%,"$169,546,152 ",-16.10%,100,The Boss Baby,/weekend/2017W13/?ref_=bo_wey_table_49
Mar 24-26,2017,12,"$192,647,503 ",-23.60%,"$202,066,084 ",-22.50%,100,Beauty and the Beast,/weekend/2017W12/?ref_=bo_wey_table_50
Mar 17-19,2017,11,"$252,225,276 ",68.90%,"$260,823,456 ",59%,103,Beauty and the Beast,/weekend/2017W11/?ref_=bo_wey_table_51
Mar 10-12,2017,10,"$149,362,845 ",-11.10%,"$163,997,836 ",-13.50%,107,Kong: Skull Island,/weekend/2017W10/?ref_=bo_wey_table_52
Mar 3-5,2017,9,"$168,014,995 ",61.80%,"$189,697,727 ",52.80%,100,Logan,/weekend/2017W09/?ref_=bo_wey_table_53
Feb 24-26,2017,8,"$103,860,378 ",-19.40%,"$124,126,169 ",-17.60%,87,Get Out,/weekend/2017W08/?ref_=bo_wey_table_54
Feb 17-20Presidents' Day wknd,2017,7,"$155,796,460 ",-37.90%,"$181,705,870 ",-34.80%,68,The Lego Batman Movie,/weekend/2017W07/occasion/us_presidentsday_weekend/?ref_=bo_wey_table_55
Feb 10-12,2017,6,"$171,094,497 ",126.10%,"$188,591,354 ",90%,87,The Lego Batman Movie,/weekend/2017W06/?ref_=bo_wey_table_57
Feb 3-5,2017,5,"$75,662,315 ",-32.20%,"$99,239,960 ",-30.10%,97,Split,/weekend/2017W05/?ref_=bo_wey_table_58
Jan 27-29,2017,4,"$111,650,133 ",-7.10%,"$141,980,332 ",-2.10%,85,Split,/weekend/2017W04/?ref_=bo_wey_table_59
Jan 20-22,2017,3,"$120,214,041 ",1%,"$145,007,859 ",-2.90%,89,Split,/weekend/2017W03/?ref_=bo_wey_table_60
Jan 13-16MLK wknd,2017,2,"$147,714,852 ",-15.70%,"$185,210,740 ",-7.70%,66,Hidden Figures,/weekend/2017W02/occasion/us_mlkday_weekend/?ref_=bo_wey_table_62
Jan 6-8,2017,1,"$120,491,633 ",-27.60%,"$137,405,045 ",-26.40%,88,Hidden Figures,/weekend/2017W01/?ref_=bo_wey_table_63
"Dec 30-Jan 2, 2017New Year's long wknd",2016,53,"$220,396,876 ",-7.30%,"$246,770,071 ",-11.10%,68,Rogue One: A Star Wars Story,/weekend/2016W53/occasion/us_newyear_weekend/?ref_=bo_wey_table_2
Dec 23-26Christmas long wknd,2016,52,"$250,611,546 ",47.70%,"$274,763,402 ",34.10%,67,Rogue One: A Star Wars Story,/weekend/2016W52/occasion/us_christmas_weekend/?ref_=bo_wey_table_3
Dec 16-18,2016,51,"$203,485,726 ",184.30%,"$211,583,035 ",152.70%,99,Rogue One: A Star Wars Story,/weekend/2016W51/?ref_=bo_wey_table_5
Dec 9-11,2016,50,"$71,566,771 ",-14.50%,"$83,717,240 ",-12.60%,114,Moana,/weekend/2016W50/?ref_=bo_wey_table_6
Dec 2-4,2016,49,"$83,749,622 ",-50.90%,"$95,805,897 ",-48%,131,Moana,/weekend/2016W49/?ref_=bo_wey_table_7
